"770599972102348800","@LuisMartinez22_ pensba q iba a hacer @wxplosive una reflexion profunda de las q me hace a mi pero ","N"
"770453393714348032","Eso de echar de menos tu propia casa son leyendas urbanas ","P"
"770612909105905665","Echo de menos las sudaderas y los pantalones largos ","N"
"770610067146235904","Quiero mimos. Y un zumo de naranja. Estoy enfermita ","N"
"770633713822601216","@Defconplay de hecho lo confirmo, los caminos y las casitas son las mismas ","NONE"
"770434045469659136","La radio de cercanía, la radio más cercana a la realidad en @HablarporHablar con esta llamada ","NONE"
"770499448438915072","@Miriam_Munuera calor?! Calor?? Hoy mehe muerto de frío ","N"
"770434546168897536","sabes que tu vida es muy puta cuando empiezas las clases en menos de una semana ","N"
"770081000747573248","@EstreMaimona Hija mía ...Haces inteligente a la anormal de ""yolanda morin"".... ","N"
"770772755637764096","q en horas estemos en septiembre, perdona?????  24 junio dnde stas ","N"
"770948285288841216","@nightmareoscura malditos conductores a los que dan el carnet en la tómbola ","N"
"770943381652504576","quiero hacer un video en youtube desahogándome ","N"
"770918502865702912","@pauladiaz_coach un placer guapa!! @alexdurana es un sol!! bueno, los dos los sois ","P"
"770914817360195601","@NoEsUnPagaro que te pasa necesitas ayuda? favea si te tienen secuestrada ","N"
"770960812785692672","No me pongáis Galantis que pienso en el Arenal y lloro ","N"
"770960332818935809","@SaraWiggum @SergloPsycho lo gracioso es que no se de donde voy a sacar tiempo ","N"
"770959151992274945","@JAGambero @tehubriego Porque, España, es un país, Opresor¡¡ malvado y esclavista¡... ","N"
"770967255773507584","@IKEASpain es el mismo así que tomo nota de todo  #gracias","P"
"770938248537530368","Creo que voy a hacer nuggets vegetarianos y patatas porque no sé qué hacer de comer y ","N"
"770967899485986816","Por cierto @AdvyStyles podria hablar contigo por md? Gracias ","NONE"
"770799001071476736","Increíble el directo de hoy me lo he pasado  de puta madre muchísimas gracias a todos ","P"
"770802532855799808","@micaelarusso_ me ha pasado algo similar te entiendo cariño ","NEU"
"770809220291760128","Quiero que alguien me diga cosas bonitas ","N"
"770814690490548224","Quita rubiete el stream y me hago un 2vs1 impresionante ","NEU"
"770951927291056129","@varitoponchito pues sí ya tienes claro que me he precipitado no hace falta que me lo preguntes ","N"
"770882694586757120","@antxonp  Mi producción, como puedes ver, es escasa  ¡Pero seguro que estarán buenísimas!! Je, je, je","NEU"
"770865009991745536","También me gustaría jugar a la Beta abierta de Battlefield. Pero no se a que hora sale ","N"
"770904895104884736","@YsabelGranger @gvila1 Nosotras haremos lo q sea menester para motivados  ","P"
"770902590817271808","ojalá selena se recupere pronto, no merece nada malo  #GetWellSoonSelena","P"
"770880018398515200","Qué deprimente, mañana ya sepriembre. QUE SE ACABAN LAS VACACIONES!! ","N"
"769846566593171456","Quiero ver no apagues la luz y nadie viene conmigo ","N"
"769850987133693952","@imdariusb1tches nooo, quiero que me vaya pordede ","N"
"769836787632050176","@thorelvasco @eloymg85 es que 16 Gb es muy poquito, sobre todo teniendo en cuenta que el 6S sube a 12 Mp y graba en 4K ","N"
"769865680967598080","Iba a sacar a la perra y se me ha quedado la rodilla pillada ","N"
"769605663756578820","@Garcia_Daniel13 Muy agradable, tiene la lengua fuera... ¿quieres una foto..? ","N"
"769605224612978688","@CelopanYT te hemos echado de menos en la fiesta fin de verano  te podrias haber ido con Ro ","N"
"769867907694288896","A estas horas hace un mes estaba nerviosa no, lo siguiente porque le veía y ahora ","NEU"
"769963110539165696","@CyPunto_ soy unranked , pero porque paso de hacerlas xd y mi novio se reia de mi ayer ","N"
"769967293988306944","una chamana/curandera/partera veterana asexual seria un buen personaje para mi historia ","P"
"769645274440531968","@pilar_diz Buenooo, claro que si y a @chefidiaz se le está pegando...Pero es estupendo. Scoop. No dejéis de verla. ","P"
"769641872981622784","Se me ha puesto una araña en la pierna y he montado un espectáculo en una terrazas ","N"
"769901444505989121","Luego lo mas seguro haga Periscope, alguien me va a ver? ","NONE"
"769909114109648900","Gracias por compartir querido Pepín  @CliftJose","P"
"769912889553682432","@LordTyrellGH Melanie era la mejor, encima la echaron el dia de su cumple  SINVERGUENZAS","N"
"769763768792412160","El señor @Vondalv no quiere jugar duoq conmigo   ","N"
"769795043729272832","@lsanzo @velardedaoiz no le llames ""pobreza real"", que la liamos ","N"
"769834725997473793",". Con el Código ""Ninja"" 5℅ de descuento  en @SimpleDigitales  Fiables y económicos!!","NONE"
"769830949156773888","Lo de quedarse sola en casa sonaba a planazo de domingo, hasta que me doy cuenta de que no hay dulces en casa ","N"
"769808386519101440","Hoy queremos felicitar por su cumple a una de las mejores personas que hemos conocido gracia al #páde #RafaGuerrero  @PlanetaPadel  ","P"
"772410757115944965","La figura de magearna se esta retrasando un poco  Es raro en ese vendedor  aunque normalmente le pido un pack grande ","N"
"772409576381644800","Qué bonito fue aquel mes en el que viví sola y nadie me hacia un interrogatorio cada vez que llegaba a casa ","N"
